,normalized-losses,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-rate,horsepower,peak-rpm,city-mpg,highway-mpg,price,mianji,tiji
3,164,99.8,176.6,66.2,54.3,2337,4,109,3.19,3.4,10,102,5500,24,30,13950,11690.92,634816.956
4,164,99.4,176.6,66.4,54.3,2824,5,136,3.19,3.4,8,115,5500,18,22,17450,11726.24,636734.832
6,158,105.8,192.7,71.4,55.7,2844,5,136,3.19,3.4,8.5,110,5500,19,25,17710,13758.78,766364.046
8,158,105.8,192.7,71.4,55.9,3086,5,131,3.13,3.4,8.3,140,5500,17,20,23875,13758.78,769115.802
10,192,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,101,5800,23,29,16430,11456.64,622095.552
11,192,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,101,5800,23,29,16925,11456.64,622095.552
12,188,101.2,176.8,64.8,54.3,2710,6,164,3.31,3.19,9,121,4250,21,28,20970,11456.64,622095.552
13,188,101.2,176.8,64.8,54.3,2765,6,164,3.31,3.19,9,121,4250,21,28,21105,11456.64,622095.552
18,121,88.4,141.1,60.3,53.2,1488,3,61,2.91,3.03,9.5,48,5100,47,53,5151,8508.33,452643.156
19,98,94.5,155.9,63.6,52,1874,4,90,3.03,3.11,9.6,70,5400,38,43,6295,9915.24,515592.48
20,81,94.5,158.8,63.6,52,1909,4,90,3.03,3.11,9.6,70,5400,38,43,6575,10099.68,525183.36
21,118,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.41,68,5500,37,41,5572,10035.74,509815.592
22,118,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.4,68,5500,31,38,6377,10035.74,509815.592
23,118,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,102,5500,24,30,7957,10035.74,509815.592
24,148,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,68,5500,31,38,6229,10035.74,507808.444
25,148,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68,5500,31,38,6692,10035.74,507808.444
26,148,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68,5500,31,38,7609,10035.74,507808.444
27,148,93.7,157.3,63.8,50.6,2191,4,98,3.03,3.39,7.6,102,5500,24,30,8558,10035.74,507808.444
28,110,103.3,174.6,64.6,59.8,2535,4,122,3.34,3.46,8.5,88,5000,24,30,8921,11279.16,674493.768
29,145,95.9,173.2,66.3,50.2,2811,4,156,3.6,3.9,7,145,5000,19,24,12964,11483.16,576454.632
30,137,86.6,144.6,63.9,50.8,1713,4,92,2.91,3.41,9.6,58,4800,49,54,6479,9239.94,469388.952
31,137,86.6,144.6,63.9,50.8,1819,4,92,2.91,3.41,9.2,76,6000,31,38,6855,9239.94,469388.952
32,101,93.7,150,64,52.6,1837,4,79,2.91,3.07,10.1,60,5500,38,42,5399,9600,504960
33,101,93.7,150,64,52.6,1940,4,92,2.91,3.41,9.2,76,6000,30,34,6529,9600,504960
34,101,93.7,150,64,52.6,1956,4,92,2.91,3.41,9.2,76,6000,30,34,7129,9600,504960
35,110,96.5,163.4,64,54.5,2010,4,92,2.91,3.41,9.2,76,6000,30,34,7295,10457.6,569939.2
36,78,96.5,157.1,63.9,58.3,2024,4,92,2.92,3.41,9.2,76,6000,30,34,7295,10038.69,585255.627
37,106,96.5,167.5,65.2,53.3,2236,4,110,3.15,3.58,9,86,5800,27,33,7895,10921,582089.3
38,106,96.5,167.5,65.2,53.3,2289,4,110,3.15,3.58,9,86,5800,27,33,9095,10921,582089.3
39,85,96.5,175.4,65.2,54.1,2304,4,110,3.15,3.58,9,86,5800,27,33,8845,11436.08,618691.928
40,85,96.5,175.4,62.5,54.1,2372,4,110,3.15,3.58,9,86,5800,27,33,10295,10962.5,593071.25
41,85,96.5,175.4,65.2,54.1,2465,4,110,3.15,3.58,9,101,5800,24,28,12945,11436.08,618691.928
